,Árvore,Random Forest,KNN,Logística,SVM,Redes Neurais
0,0.9704900000000001,0.9719800000000001,0.9608000000000001,0.9602999999999999,0.9630700000000001,0.9718800000000002
1,0.9702000000000002,0.9719500000000002,0.9604500000000001,0.96029,0.9629099999999999,0.9717399999999999
2,0.97026,0.97194,0.96074,0.9602599999999999,0.96286,0.97143
3,0.97033,0.9719000000000001,0.9607300000000001,0.96029,0.9629599999999998,0.97187
4,0.9703199999999998,0.9719,0.9609400000000001,0.9602700000000001,0.96295,0.9716100000000001
5,0.97014,0.9719900000000001,0.96097,0.96028,0.96297,0.97151
6,0.97027,0.97198,0.96071,0.9603399999999999,0.9628899999999998,0.97155
7,0.9706100000000001,0.9719,0.9606600000000001,0.9602700000000001,0.96297,0.97166
8,0.9705799999999998,0.9719499999999999,0.9605600000000001,0.9604299999999999,0.96308,0.9718900000000001
9,0.9699899999999999,0.97195,0.96065,0.96025,0.9629200000000001,0.97177
